manufacturer,film_name,film_key,product_code,source_kind,source_doc,source_product_name,notes
"3M Fasara","Grain Champagne Gold SH2CSGC","3M FASARA|GRAIN CHAMPAGNE GOLD SH2CSGC","SH2CSGC","official_catalog","3M Glass Finishes 2020-2021 Catalog","Grain Champagne Gold",""
"3M Fasara","Hairline Matte SH2HLMA","3M FASARA|HAIRLINE MATTE SH2HLMA","SH2HLMA","official_catalog","3M Glass Finishes 2020-2021 Catalog","Hairline Matte",""
"3M Fasara","Illumina Alpha SH2FGMIX","3M FASARA|ILLUMINA ALPHA SH2FGMIX","SH2FGMIX","official_catalog","3M Glass Finishes 2020-2021 Catalog","Illumina Alpha","Catalog OCR normalized using 3M FASARA technical data sheet."
"3M Fasara","Illumina Black SH2BKIM","3M FASARA|ILLUMINA BLACK SH2BKIM","SH2BKIM","official_catalog","3M Glass Finishes 2020-2021 Catalog","Illumina Black",""
"3M Fasara","Illumina Reflect SH2SIIM","3M FASARA|ILLUMINA REFLECT SH2SIIM","SH2SIIM","official_catalog","3M Glass Finishes 2020-2021 Catalog","Illumina Reflect",""
"3M Fasara","Illumina Seamless-PR SH2SSIM-PR","3M FASARA|ILLUMINA SEAMLESS-PR SH2SSIM-PR","SH2SSIM-PR","official_catalog","3M Glass Finishes 2020-2021 Catalog","Illumina Seamless-PR",""
"3M Fasara","Illumina Seamless-S2 SH2SSIM-S2","3M FASARA|ILLUMINA SEAMLESS-S2 SH2SSIM-S2","SH2SSIM-S2","official_catalog","3M Glass Finishes 2020-2021 Catalog","Illumina Seamless-S2",""
"3M Fasara","Illumina Seamless-W2 SH2SSIM-W2","3M FASARA|ILLUMINA SEAMLESS-W2 SH2SSIM-W2","SH2SSIM-W2","official_catalog","3M Glass Finishes 2020-2021 Catalog","Illumina Seamless-W2",""
"3M Fasara","Illumina SH2FGIM","3M FASARA|ILLUMINA SH2FGIM","SH2FGIM","official_catalog","3M Glass Finishes 2020-2021 Catalog","Illumina",""
"3M Fasara","Illumina Silky-S SH2SSIM-S","3M FASARA|ILLUMINA SILKY-S SH2SSIM-S","SH2SSIM-S","official_catalog","3M Glass Finishes 2020-2021 Catalog","Illumina Silky-S",""
