reason,source_manufacturer,source_film_name,source_box_count,target_manufacturer,target_film_name,target_film_key,affected_rows
"fingerprint_unique_match","Solyx","Solyx Etched Leise Stripes SXC374","3","Solyx","Etched Leise Stripes SX-C374","SOLYX|ETCHED LEISE STRIPES SX-C374","3"
"fingerprint_unique_match","Solyx","Solyx Rain Glass SX1544","3","Solyx","Rain Glass SX1544","SOLYX|RAIN GLASS SX1544","3"
"fingerprint_unique_match","Solyx","Solyx Subsonic SX-5035","3","Solyx","Subsonic SX-5035","SOLYX|SUBSONIC SX-5035","3"
"fingerprint_unique_match","Solyx","Solyx Thatch Frost SX1580","3","Solyx","Thatch Frost SX1580","SOLYX|THATCH FROST SX1580","3"
"fingerprint_unique_match","3M Fasara","3M Fasara Border Paracell Horizontal SH2FGPR","2","3M Fasara","Border Paracell Horizontal SH2FGPR","3M FASARA|BORDER PARACELL HORIZONTAL SH2FGPR","2"
"fingerprint_unique_match","3M Fasara","3M Fasara Essen SH2EMES","2","3M Fasara","Essen SH2EMES","3M FASARA|ESSEN SH2EMES","2"
"fingerprint_unique_match","3M Fasara","3M Fasara Fusion Pearl SH2CSFP","2","3M Fasara","Fusion Pearl SH2CSFP","3M FASARA|FUSION PEARL SH2CSFP","2"
"fingerprint_unique_match","3M Fasara","3M Fasara Linen SH2FGLN","2","3M Fasara","Linen SH2FGLN","3M FASARA|LINEN SH2FGLN","2"
"fingerprint_unique_match","3M Fasara","3M Fasara Wind SH2PTWD","2","3M Fasara","Wind SH2PTWD","3M FASARA|WIND SH2PTWD","2"
"fingerprint_unique_match","3M Solar","3M Frosted Crystal","2","3M Solar","Frosted Crystal","3M SOLAR|FROSTED CRYSTAL","2"
"fingerprint_unique_match","3M Solar","3M PR 60 EXT","2","3M Solar","PR 60 EXT","3M SOLAR|PR 60 EXT","2"
"fingerprint_unique_match","3M Solar","3M Ultra NV25","2","3M Solar","Ultra NV25","3M SOLAR|ULTRA NV25","2"
"fingerprint_unique_match","Llumar","Llumar Etched Frost NRMV60 FPS3","2","Llumar","Etched Frost NRMV60FPS3","LLUMAR|ETCHED FROST NRMV60FPS3","2"
"fingerprint_unique_match","Llumar","Llumar Glacier NRM55 PS4","2","Llumar","Glacier NRM55 PS4","LLUMAR|GLACIER NRM55 PS4","2"
"fingerprint_unique_match","Llumar","Llumar V 28","2","Llumar","V28","LLUMAR|V28","2"
"fingerprint_unique_match","Llumar","Llumar V 33","2","Llumar","V33","LLUMAR|V33","2"
"fingerprint_unique_match","Solar Gard","SG Panorama Slate 40","2","Solar Gard","Panorama Slate 40","SOLAR GARD|PANORAMA SLATE 40","2"
"fingerprint_unique_match","Solar Gard","SG SX 50","2","Solar Gard","SX 50","SOLAR GARD|SX 50","2"
"fingerprint_unique_match","Solyx","Solyx Acid Etch SX3314","2","Solyx","Acid Etch SX3314","SOLYX|ACID ETCH SX3314","2"
"fingerprint_unique_match","Solyx","Solyx Alps SXC392","2","Solyx","Alps SXC392","SOLYX|ALPS SXC392","2"
"fingerprint_unique_match","Solyx","Solyx Black Out SXWF-BO","2","Solyx","Blackout SXWFBO","SOLYX|BLACKOUT SXWFBO","2"
"fingerprint_unique_match","Solyx","Solyx Blackout SXWF - BO","2","Solyx","Blackout SXWFBO","SOLYX|BLACKOUT SXWFBO","2"
"fingerprint_unique_match","Solyx","Solyx Clear Luster SXWV0200","2","Solyx","Clear Luster SXWV0200","SOLYX|CLEAR LUSTER SXWV0200","2"
"fingerprint_unique_match","Solyx","Solyx Dual Misty Fost SXJ-0598 GRADIANT","2","Solyx","Dual Misty Fost SXJ-0598 GRADIANT","SOLYX|DUAL MISTY FOST SXJ-0598 GRADIANT","2"
"fingerprint_unique_match","Solyx","Solyx Dusted crystal SX3140","2","Solyx","Dusted Crystal SX-3140","SOLYX|DUSTED CRYSTAL SX-3140","2"
"fingerprint_unique_match","Solyx","Solyx Dusted Etch SXC-300","2","Solyx","Dusted Etch SX-C300","SOLYX|DUSTED ETCH SX-C300","2"
"fingerprint_unique_match","Solyx","Solyx Lineage Dual Frost. Grad. SXJ0599","2","Solyx","Lineage Dual Frost. Grad. SXJ0599","SOLYX|LINEAGE DUAL FROST. GRAD. SXJ0599","2"
"fingerprint_unique_match","Solyx","Solyx One Way Slv./Gry SXSG09","2","Solyx","One Way Slv./gry SXSG09","SOLYX|ONE WAY SLV./GRY SXSG09","2"
"fingerprint_unique_match","Solyx","Solyx Shimera SX-3160","2","Solyx","Shimera SX-3160","SOLYX|SHIMERA SX-3160","2"
"fingerprint_unique_match","Solyx","Solyx Static Cling Atlantis SXSC514","2","Solyx","Static Cling Atlantis SXSC514","SOLYX|STATIC CLING ATLANTIS SXSC514","2"
"fingerprint_unique_match","Solyx","Solyx SX-C376 Etchnwhite Random Lines","2","Solyx","SX-C376 Etchnwhite Random Lines","SOLYX|SX-C376 ETCHNWHITE RANDOM LINES","2"
"fingerprint_unique_match","Solyx","Solyx SXHP-2411 Vertical Stripes","2","Solyx","SXHP-2411 Vertical Stripes","SOLYX|SXHP-2411 VERTICAL STRIPES","2"
"fingerprint_unique_match","Solyx","Solyx SXWF-WM WHite matte","2","Solyx","SXWF-WM White Matte","SOLYX|SXWF-WM WHITE MATTE","2"
"fingerprint_unique_match","Solyx","Solyx Triangle Gradient SXJ0594","2","Solyx","Triangle Gradient SXJ0594","SOLYX|TRIANGLE GRADIENT SXJ0594","2"
"fingerprint_unique_match","Solyx","Solyx White Black Opaque SXWFWB","2","Solyx","White Black Opaque SXWFWB","SOLYX|WHITE BLACK OPAQUE SXWFWB","2"
"fingerprint_unique_match","Solyx","Solyx White Matte Max SXWFWMAX","2","Solyx","White Matte Max SXWFWMAX","SOLYX|WHITE MATTE MAX SXWFWMAX","2"
"fingerprint_unique_match","Solyx","Solyx Wht/Blk Opq. Adh. on White SXWFWB","2","Solyx","Wht/blk Opq. Adh. On White SXWFWB","SOLYX|WHT/BLK OPQ. ADH. ON WHITE SXWFWB","2"
