org_id,manufacturer,film_name,film_key,source_count,source_manufacturer,source_film_name,has_film_signal
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Panorama Slate 10,SOLAR GARD|PANORAMA SLATE 10,5,Solar Gard,SG Panorama Slate 10,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Truevue 5,SOLAR GARD|TRUEVUE 5,5,Solar Gard,SG TrueVue 5,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Fine Crystal Frost SX-1309,SOLYX|FINE CRYSTAL FROST SX-1309,5,Solyx,Solyx Fine Crystal Frost SX-1309,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,SOL SXGF-0500 Clear Frosted Safety Film,SOLYX|SOL SXGF-0500 CLEAR FROSTED SAFETY FILM,5,Solyx,SOL SXGF-0500 Clear Frosted Safety Film,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Fabric-sensai Linen Champagne Gold SH2CSSEC,3M FASARA|3M FABRIC-SENSAI LINEN CHAMPAGNE GOLD SH2CSSEC,4,3M Fasara,3M Fabric-Sensai Linen Champagne Gold SH2CSSEC,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 50 EXT,3M SOLAR|PR 50 EXT,4,3M Solar,3M PR 50 EXT,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Llumar,V28,LLUMAR|V28,4,Llumar,V28,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Slate 30 (panorama),SOLAR GARD|SLATE 30 (PANORAMA),4,Solar Gard,SG Slate 30 (Panorama),true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Dual Cloud Gradient SXJ0579,SOLYX|DUAL CLOUD GRADIENT SXJ0579,4,Solyx,Solyx Dual Cloud Gradient SXJ0579,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Fine Brushed SXL1017,SOLYX|FINE BRUSHED SXL1017,4,Solyx,Solyx Fine Brushed SXL1017,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Geometric SX3150,SOLYX|GEOMETRIC SX3150,4,Solyx,Solyx Geometric SX3150,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Oslo SH2EMOS,3M FASARA|3M OSLO SH2EMOS,3,3M Fasara,3M Oslo SH2EMOS,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Aerina SH2FGAR,3M FASARA|AERINA SH2FGAR,3,3M Fasara,Aerina SH2FGAR,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Lausanne SH2EMLA,3M FASARA|LAUSANNE SH2EMLA,3,3M Fasara,3M Fasara Lausanne SH2EMLA,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Luce SH2FGLU,3M FASARA|LUCE SH2FGLU,3,3M Fasara,3M Fasara Luce SH2FGLU,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Stripe Safari SH2PTSR,3M FASARA|STRIPE SAFARI SH2PTSR,3,3M Fasara,3M Fasara Stripe Safari SH2PTSR,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,3795 3M NV35,3M SOLAR|3795 3M NV35,3,3M Solar,3795 3M NV35,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 90 EXT,3M SOLAR|PR 90 EXT,3,3M Solar,3M PR 90 EXT,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,S80,3M SOLAR|S80,3,3M Solar,3M S80,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Llumar,Etched Frost NRMV60FPS3,LLUMAR|ETCHED FROST NRMV60FPS3,3,Llumar,Llumar Etched Frost NRMV60FPS3,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Panaroma Slate 20,SOLAR GARD|PANAROMA SLATE 20,3,Solar Gard,Panaroma Slate 20,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Panaroma Slate 40,SOLAR GARD|PANAROMA SLATE 40,3,Solar Gard,Panaroma Slate 40,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solar Gard,Solar Gard Truevue 30,SOLAR GARD|SOLAR GARD TRUEVUE 30,3,Solar Gard,Solar Gard Truevue 30,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Clear Waters SX-9000,SOLYX|CLEAR WATERS SX-9000,3,Solyx,Solyx Clear Waters SX-9000,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Dry Erase White For Glass SX2090,SOLYX|DRY ERASE WHITE FOR GLASS SX2090,3,Solyx,Solyx Dry Erase White For Glass SX2090,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Dual Feather Gradient SXJ-0591,SOLYX|DUAL FEATHER GRADIENT SXJ-0591,3,Solyx,Solyx Dual Feather Gradient SXJ-0591,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Dual Feather Gradient SXJ0548,SOLYX|DUAL FEATHER GRADIENT SXJ0548,3,Solyx,Solyx Dual Feather Gradient SXJ0548,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Rain Glass SX1544,SOLYX|RAIN GLASS SX1544,3,Solyx,Solyx Rain Glass SX1544,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Subsonic SX-5035,SOLYX|SUBSONIC SX-5035,3,Solyx,Solyx Subsonic SX-5035,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,Solyx,Thatch Frost SX1580,SOLYX|THATCH FROST SX1580,3,Solyx,Solyx Thatch Frost SX1580,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Arpa SH2FGAP,3M FASARA|3M ARPA SH2FGAP,2,3M Fasara,3M Arpa SH2FGAP,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,3M Emboss-hairline Matte SH2HLMA,3M FASARA|3M EMBOSS-HAIRLINE MATTE SH2HLMA,2,3M Fasara,3M Emboss-Hairline Matte SH2HLMA,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Border Paracell Horizontal SH2FGPR,3M FASARA|BORDER PARACELL HORIZONTAL SH2FGPR,2,3M Fasara,3M Fasara Border Paracell Horizontal SH2FGPR,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Essen SH2EMES,3M FASARA|ESSEN SH2EMES,2,3M Fasara,3M Fasara Essen SH2EMES,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Fasara Illumina Glace Dots SH2FGIM,3M FASARA|FASARA ILLUMINA GLACE DOTS SH2FGIM,2,3M Fasara,Fasara Illumina Glace Dots SH2FGIM,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Fusion Pearl SH2CSFP,3M FASARA|FUSION PEARL SH2CSFP,2,3M Fasara,3M Fasara Fusion Pearl SH2CSFP,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Linen SH2FGLN,3M FASARA|LINEN SH2FGLN,2,3M Fasara,3M Fasara Linen SH2FGLN,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Slat Horizontal SH2FGSL,3M FASARA|SLAT HORIZONTAL SH2FGSL,2,3M Fasara,Slat Horizontal SH2FGSL,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Fasara,Wind SH2PTWD,3M FASARA|WIND SH2PTWD,2,3M Fasara,3M Fasara Wind SH2PTWD,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,PR 60 EXT,3M SOLAR|PR 60 EXT,2,3M Solar,3M PR 60 EXT,true
ecf4f1c5-f153-4072-b814-18a41c52fcdc,3M Solar,Ultra NV25,3M SOLAR|ULTRA NV25,2,3M Solar,3M Ultra NV25,true
