boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-4035","IN_STOCK","Avery Dennison","- Silver 20 XRTM Exterior","60","33","33","2023-02-13","2023-02-13","","","","",""
"IL1-4036","IN_STOCK","Avery Dennison","- Silver 20 XRTM Exterior","60","33","33","2023-02-13","2023-02-13","","","","",""
"IL1-5049","IN_STOCK","Avery Dennison","Titan 07","60","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-5056","IN_STOCK","Avery Dennison","Titan 07","60","9","9","2023-02-13","2023-02-13","","","","",""
"IL1-5068","IN_STOCK","Avery Dennison","E-Lite 70","60","10","10","2023-02-13","2023-02-13","","","","",""
"IL1-5069","IN_STOCK","Avery Dennison","Titan 07","60","100","100","2023-02-13","2023-02-13","","","","",""
"IL1-5075","IN_STOCK","3M Fasara","Feather Friendly Horizon","36","150","150","2023-02-13","2023-02-13","","","","",""
"IL1-5076","IN_STOCK","3M Fasara","Feather Friendly Horizon","36","50","50","2023-02-13","2023-02-13","","","","",""
"IL1-5090","IN_STOCK","3M Solar","Privacy Mirror","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-5115","IN_STOCK","Security","Avery Dennison Safety Clear 12 MIL","48","24","24","2023-07-31","2023-07-31","","","","",""
"IL1-5160","IN_STOCK","Security","Avery Dennison Safety Matte 5 MIL R14811","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-5206","IN_STOCK","Vinyl","3M 7125 Dark Grey 41","48","20","20","2025-02-13","2025-02-13","","","","",""
"IL1-5369","IN_STOCK","Solar Gard","Truevue 40","72","10","10","2023-07-31","2023-07-31","","","","",""
"IL1-5381","IN_STOCK","Security","3M S2400","60","80","80","2023-07-31","2023-07-31","","","","",""
"IL1-5382","IN_STOCK","Security","3M S2400","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-5390","IN_STOCK","SOLYX","SX-3140 Dusted Crystal","60","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-5452","IN_STOCK","3M Fasara","Frosted Crystal 7725-324","48","40","40","2023-02-13","2023-02-13","","","","",""
"IL1-5691","IN_STOCK","3M Fasara","Essen SH2EMES","50","10","10","2023-02-13","2023-02-13","","","","",""
