boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-6703","IN_STOCK","SOLYX","Alps SXC392","60","12","12","2023-07-31","2023-07-31","","","","",""
"IL1-6709","IN_STOCK","Solar Gard","Sentinel Plus DX5 EXT","72","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-6711","IN_STOCK","3M Fasara","Oslo SH2EMOS","50","6","6","2023-02-13","2023-02-13","","","","",""
"IL1-6714","IN_STOCK","Security","3M AG-4","60","6","6","2023-07-31","2023-07-31","","","","",""
"IL1-6715","IN_STOCK","Solar Gard","Slate 10","48","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-6716","IN_STOCK","3M Fasara","Black Electrocut 7725-12","48","30","30","2023-02-13","2023-02-13","","","","",""
"IL1-6720","IN_STOCK","SOLYX","SXO-040 Violet","48","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-6721","IN_STOCK","3M Solar","Prestige 20 Exterior","72","50","50","2023-07-31","2023-07-31","","","","",""
"IL1-6722","IN_STOCK","3M Solar","Prestige 20 Exterior","36","32","32","2023-07-31","2023-07-31","","","","",""
"IL1-6723","IN_STOCK","3M Solar","Prestige 90 Exterior","60","50","50","2023-07-31","2023-07-31","","","","",""
"IL1-6724","IN_STOCK","3M Fasara","Straight Washi SH2FGSW","50","7","7","2023-02-13","2023-02-13","","","","",""
"IL1-6726","IN_STOCK","Security","3M AG-4","60","60","60","2023-07-31","2023-07-31","","","","",""
"IL1-6727","IN_STOCK","SOLYX","Frosted Stripes SXC-1418","60","6","6","2023-07-31","2023-07-31","","","","",""
"IL1-6730","IN_STOCK","3M Solar","Night Vision 35","60","50","50","2023-07-31","2023-07-31","","","","",""
"IL1-6732","IN_STOCK","3M Fasara","Cross Hairline Sucre SH2CHSC","48","7","7","2023-02-13","2023-02-13","","","","",""
"IL1-6734","CHECKED_OUT","3M Solar","Prestige 50","60","20","8","2025-10-08","2025-10-10","4598","2026-03-28","","",""
"IL1-6735","IN_STOCK","Security","3M S140","60","53","53","2023-07-31","2023-07-31","","","","",""
"IL1-6739","IN_STOCK","Security","Madico SG 35","60","18","18","2023-07-31","2023-07-31","","","","",""
