"row_number","description","lot","box_id","id_token","width","raw_zeroed_date","original_known_date","inferred_zeroed_date","date_resolution_method"
"800","3631 - SG TrueVue 40 60""","5.416617022E9","IL-3631","3631","60","","","2026-01-14","back_fill_from_next"
"801","5881 - Madico Safetyshield 800 36""","2.400230241E9","IL-5881","5881","36","","","2026-01-14","back_fill_from_next"
"802","5873 - Madico Safetyshield 1500 60""","2.402330242E9","IL-5873","5873","60","","","2026-01-14","back_fill_from_next"
"803","5734 - Madico Safetyshield 1500 72""","2.315830168E9","IL-5734","5734","72","","","2026-01-14","back_fill_from_next"
"804","5895 - Madico Safetyshield 1500 60""","2.402530352E9","IL-5895","5895","60","","","2026-01-14","back_fill_from_next"
"805","5962 - 3M Fasara Cloud Narrow White SH2FGCN 50""","106747059A","IL-5962","5962","50","","","2026-01-14","back_fill_from_next"
"806","5904 - Avery Natura 30 60""","RC2963659","IL-5904","5904","60","","","2026-01-14","back_fill_from_next"
"807","5905 - Avery Natura 30 60""","RC2963626","IL-5905","5905","60","","","2026-01-14","back_fill_from_next"
"808","5906 - Avery Natura 30 72""","RC3264821","IL-5906","5906","72","","","2026-01-14","back_fill_from_next"
"809","5907 - Avery Natura 30 72""","RC3264512","IL-5907","5907","72","","","2026-01-14","back_fill_from_next"
"810","5909 - Avery Natura 30 72""","RC3264591","IL-5909","5909","72","","","2026-01-14","back_fill_from_next"
"811","5925 - Avery Natura 30 60""","RC2963936","IL-5925","5925","60","","","2026-01-14","back_fill_from_next"
"812","5162 - 3M PR 60 60""","D031324454","IL-5162","5162","60","","","2026-01-14","back_fill_from_next"
"813","5065 - 3M S140 SH14CLARL 60""","232C","IL-5065","5065","60","","","2026-01-14","back_fill_from_next"
"814","5333 - SG Slate 30 48""","5.424949048E9","IL-5333","5333","48","","","2026-01-14","back_fill_from_next"
"815","5067 - 3M S140 SH14CLARL 60""","232C","IL-5067","5067","60","","","2026-01-14","back_fill_from_next"
"816","5964 - Madico Safetyshield 800 48""","2.407930168E9","IL-5964","5964","48","","","2026-01-14","back_fill_from_next"
"817","5965 - Madico Safetyshield 800 48""","2.407930163E9","IL-5965","5965","48","","","2026-01-14","back_fill_from_next"
"818","5966 - Madico Safetyshield 800 48""","2.407930246E9","IL-5966","5966","48","","","2026-01-14","back_fill_from_next"
"819","5967 - Madico Safetyshield 800 48""","2.407930249E9","IL-5967","5967","48","","","2026-01-14","back_fill_from_next"
"820","5968 - Madico Safetyshield 800 48""","2.407930247E9","IL-5968","5968","48","","","2026-01-14","back_fill_from_next"
"821","5969 - Madico Safetyshield 800 72""","2.406630189E9","IL-5969","5969","72","","","2026-01-14","back_fill_from_next"
"822","5970 - Madico Safetyshield 800 72""","2.406630164E9","IL-5970","5970","72","","","2026-01-14","back_fill_from_next"
"823","5986 - 3M Di-Noc High Gloss Fire Brick HG1511 48""","172304.0","IL-5986","5986","48","","","2026-01-14","back_fill_from_next"
