"BoxID","Manufacturer","FilmName","WidthIn","InitialFeet","FeetAvailable","LotRun","Status","OrderDate","ReceivedDate","InitialWeightLbs","LastRollWeightLbs","LastWeighedDate","FilmKey","CoreType","CoreWeightLbs","LfWeightLbsPerFt","PurchaseCost","Notes","HasEverBeenCheckedOut","LastCheckoutJob","LastCheckoutDate","ZeroedDate","ZeroedReason","ZeroedBy"
"IL-3941","Security","3M Ultra S800","72","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=547; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=3941 - 3M Ultra S800 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5031","Security","Madico Safetyshield 800 Optivision 15","72","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|MADICO SAFETYSHIELD 800 OPTIVISION 15","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=548; DateMethod=back_fill_from_next; ManufacturerSource=keyword_security; RawDescription=5031 - Madico Safetyshield 800 Optivision 15 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5125","Security","Madico Safetyshield 1500","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|MADICO SAFETYSHIELD 1500","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=549; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5125 - Madico Safetyshield 1500 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3349","Solar Guard","SG SLATE 10 (PANORAMA)","36","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SOLAR GUARD|SG SLATE 10 (PANORAMA)","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=550; DateMethod=back_fill_from_next; ManufacturerSource=keyword_solar_guard; RawDescription=3349 - SG SLATE 10 (PANORAMA) 36""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3080","3M Solar","PR","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|PR","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=551; DateMethod=back_fill_from_next; ManufacturerSource=default_vinyl; RawDescription=3080 - PR 60 60""; ManufacturerReview=auto_high_confidence; ManufacturerBefore=Vinyl; ManufacturerAfter=3M Solar","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3738","3M Solar","3M PR 60","72","0","0","","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M PR 60","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=552; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film; RawDescription=3738 - 3M PR 60 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3905","3M Solar","3M PR 70 Ext","72","0","0","","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M PR 70 EXT","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=553; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=3905 - 3M PR 70 Ext 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5131","Solar Guard","SG Truevue 05","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SOLAR GUARD|SG TRUEVUE 05","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=554; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5131 - SG Truevue 05 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5146","Security","3M Ultra NV 25","60","0","0","D114324509","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA NV 25","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=555; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5146 - 3M Ultra NV 25 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5062","Security","3M S140 SH14CLARL","60","0","0","232C","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M S140 SH14CLARL","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=556; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5062 - 3M S140 SH14CLARL 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3126","3M Solar","3M Dusted Crystal 48"" (1 of 2)","48","0","0","G2109204","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M DUSTED CRYSTAL 48"" (1 OF 2)","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=558; DateMethod=back_fill_from_next; ManufacturerSource=keyword_3m_default; RawDescription=3126- 3M Dusted Crystal 48"" (1 of 2)","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5080","3M Solar","3M PR 40 EXT","60","0","0","D037324459","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M PR 40 EXT","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=560; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5080 - 3M PR 40 EXT 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5149","Security","3M Ultra S800","72","0","0","D170324550","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=561; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5149 - 3M Ultra S800 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5150","Security","3M Ultra S800","72","0","0","D170324550","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=562; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5150 - 3M Ultra S800 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5151","Security","3M Ultra S800","72","0","0","D170324550","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=563; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5151 - 3M Ultra S800 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5152","Security","3M Ultra S800","72","0","0","D170324550","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=564; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5152 - 3M Ultra S800 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-4069","Security","3M ULTRA S800","72","0","0","C237324387","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=565; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=4069- 3M ULTRA S800 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5166","Security","3M Ultra S800","60","0","0","D167324549","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=566; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5166 - 3M Ultra S800 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5207","Vinyl","3M 7125 Dark Grey 41","48","0","0","102130.0","ZEROED","2026-01-14","2026-01-14","","","","VINYL|3M 7125 DARK GREY 41","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=567; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5207 - 3M 7125 Dark Grey 41 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5208","Vinyl","3M 7125 Dark Grey 41","48","0","0","102130.0","ZEROED","2026-01-14","2026-01-14","","","","VINYL|3M 7125 DARK GREY 41","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=568; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5208 - 3M 7125 Dark Grey 41 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5144","Security","Madico Safetyshield 1500","60","0","0","2.314530132E9","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|MADICO SAFETYSHIELD 1500","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=569; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5144 - Madico Safetyshield 1500 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5038","Fasara","3M Fasara Frost Opaque White SH2MAOW","50","0","0","104464184A","ZEROED","2026-01-14","2026-01-14","","","","FASARA|3M FASARA FROST OPAQUE WHITE SH2MAOW","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=570; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5038 - 3M Fasara Frost Opaque White SH2MAOW 50""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5165","Security","3M Ultra S800","72","0","0","D165324547","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=571; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5165 - 3M Ultra S800 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-2758","Solyx","SXWF-WO Whiteout","72","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SOLYX|SXWF-WO WHITEOUT","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=575; DateMethod=back_fill_from_next; ManufacturerSource=keyword_solyx; RawDescription=2758 - SXWF-WO Whiteout 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3809","Solyx","Solyx White Sand Matte SX1409","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SOLYX|SOLYX WHITE SAND MATTE SX1409","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=576; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=3809 - Solyx White Sand Matte SX1409 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-4098","Solyx","Solyx SXHP-2411 Vertical Stripes","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SOLYX|SOLYX SXHP-2411 VERTICAL STRIPES","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=577; DateMethod=back_fill_from_next; ManufacturerSource=keyword_solyx; RawDescription=4098 - Solyx SXHP-2411 Vertical Stripes 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3585","Solyx","Sol White Sand Matte SX1409","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SOLYX|SOL WHITE SAND MATTE SX1409","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=578; DateMethod=back_fill_from_next; ManufacturerSource=keyword_solyx; RawDescription=3585 - Sol White Sand Matte SX1409 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3364","Solyx","SOL TRANSPARENT WHITE MATTE SXWF-TWM","36","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SOLYX|SOL TRANSPARENT WHITE MATTE SXWF-TWM","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=579; DateMethod=back_fill_from_next; ManufacturerSource=keyword_solyx; RawDescription=3364 - SOL TRANSPARENT WHITE MATTE SXWF-TWM 36""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3983","Llumar","Llumar RN07 Reflective One Way Mirror","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","LLUMAR|LLUMAR RN07 REFLECTIVE ONE WAY MIRROR","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=580; DateMethod=back_fill_from_next; ManufacturerSource=keyword_llumar; RawDescription=3983 - Llumar RN07 Reflective One Way Mirror 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3795","3M Solar","3M NV 35","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M NV 35","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=581; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=3795 - 3M NV 35 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3952","Solyx","Solyx White Dots 1/8"" SXD-1818","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","SOLYX|SOLYX WHITE DOTS 1/8"" SXD-1818","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=582; DateMethod=back_fill_from_next; ManufacturerSource=keyword_solyx; RawDescription=3952 - Solyx White Dots 1/8"" SXD-1818 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-2419","Vinyl","DOW 799 CORNING SILICONE","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","VINYL|DOW 799 CORNING SILICONE","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=583; DateMethod=back_fill_from_next; ManufacturerSource=keyword_vinyl; RawDescription=2419 - DOW 799 CORNING SILICONE","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5164","Security","3M Ultra S800","72","0","0","D174324554","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=584; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5164 - 3M Ultra S800 72""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5171","Security","3M Ultra S800","60","0","0","D167324549","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=585; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5171 - 3M Ultra S800 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5261","Security","3M Ultra S800","60","0","0","D167324549","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M ULTRA S800","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=586; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5261 - 3M Ultra S800 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3817","3M Solar","3M NV 15","48","0","0","C222324376","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M NV 15","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=588; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film; RawDescription=3817 - 3M NV 15 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3818","3M Solar","3M NV 15","48","0","0","C224324378","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M NV 15","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=589; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film; RawDescription=3818 - 3M NV 15 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3590","Llumar","Llumar Frost NRM PS2","60","0","0","41f026","ZEROED","2026-01-14","2026-01-14","","","","LLUMAR|LLUMAR FROST NRM PS2","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=590; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=3590 - Llumar Frost NRM PS2 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-2594","Fasara","Opaque White SH2MAOW","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","FASARA|OPAQUE WHITE SH2MAOW","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=591; DateMethod=back_fill_from_next; ManufacturerSource=keyword_fasara; RawDescription=2594 - Opaque White SH2MAOW","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
